"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,
-2704027.3969,-4261112.8735,3887632.6009,-2703981.0986,-4260973.2459,3887453.994,-2704030.8784,0.068449,-4261125.7668,0.37419,3887626.1978,-0.11234,
-2704022.5412,-4261101.5025,3887611.3867,-2703968.8634,-4261019.7194,3887493.3868,-2704023.9263,0.10644,-4261112.1629,0.34471,3887605.745,-0.13216,
-2704017.4238,-4261083.4414,3887589.9206,-2703979.8643,-4260971.301,3887424.1157,-2704018.9821,0.11236,-4261094.1062,0.31169,3887577.7756,-0.17093,
-2704015.1957,-4261068.9831,3887570.0656,-2703972.2981,-4260893.6255,3887398.202,-2704013.7444,0.089641,-4261068.422,0.30712,3887550.1212,-0.14728,
-2704009.9363,-4261049.0745,3887549.3948,-2703995.4381,-4260913.6512,3887392.8386,-2704011.6865,0.080998,-4261048.5878,0.31385,3887525.9016,-0.062864,
-2704010.5149,-4261035.9694,3887534.6054,-2703962.7299,-4260845.6724,3887362.8268,-2704006.1958,0.11478,-4261022.5917,0.31727,3887500.7971,0.0051466,
-2704007.6002,-4261024.4289,3887521.542,-2704015.9567,-4260896.6702,3887404.2916,-2704007.2786,0.1185,-4261006.4493,0.29164,3887485.9441,0.040816,
-2704002.7284,-4261011.5703,3887512.0421,-2703981.5499,-4260941.0806,3887405.0281,-2704004.3879,0.065243,-4260998.0584,0.27463,3887473.4914,-0.0026449,
-2704000.5823,-4261009.6316,3887507.9741,-2703958.9596,-4260921.9208,3887425.2329,-2703999.2962,-0.0059868,-4260988.2901,0.29634,3887466.0614,-0.059752,
-2703995.791,-4261003.2894,3887501.4785,-2703981.4154,-4261023.0607,3887472.6982,-2703997.2946,-0.020538,-4260992.7135,0.3348,3887467.0781,-0.054644,
-2703991.8074,-4260994.7726,3887493.9378,-2703952.7506,-4260977.8897,3887445.2554,-2703992.307,0.014788,-4260990.7869,0.35443,3887463.7147,-0.045566,
-2703987.2301,-4260997.0352,3887491.9854,-2703955.7113,-4260949.6786,3887428.0131,-2703988.2072,0.019209,-4260985.4954,0.32907,3887458.2155,-0.044595,
-2703984.5172,-4260996.2642,3887489.0295,-2703946.1122,-4261049.6219,3887475.4212,-2703983.4917,-0.0051941,-4260993.6742,0.28788,3887460.859,-0.084168,
-2703983.1128,-4260990.7209,3887483.5524,-2703960.1752,-4261022.4668,3887463.4835,-2703980.8803,0.023123,-4260997.3338,0.29467,3887461.2549,-0.11541,
-2703980.1442,-4260984.6653,3887478.6779,-2703970.4213,-4260972.8589,3887435.258,-2703979.7054,0.089171,-4260994.1752,0.33268,3887457.2442,-0.095602,
-2703978.1824,-4260985.2012,3887481.2917,-2703953.4354,-4260962.5305,3887435.4827,-2703976.7548,0.11477,-4260990.0961,0.35055,3887453.8884,-0.027631,
-2703977.1417,-4260977.1716,3887478.3062,-2703960.4529,-4261022.9044,3887506.0237,-2703974.9197,0.08244,-4260994.2648,0.32108,3887461.9121,0.011506,
-2703976.4385,-4260972.0224,3887476.9293,-2703967.6178,-4260935.5645,3887451.8105,-2703974.0958,0.032282,-4260986.7247,0.30292,3887460.3568,-0.035375,
-2703974.4973,-4260971.7789,3887476.6974,-2703969.8482,-4260955.5175,3887465.8026,-2703973.6174,0.026525,-4260982.7045,0.30009,3887461.1916,-0.051727,
-2703972.1684,-4260962.2785,3887471.585,-2703956.6923,-4261000.5397,3887475.7705,-2703971.7196,0.023085,-4260984.9606,0.31636,3887463.4333,0.018123,
-2703971.3276,-4260960.9644,3887472.1984,-2703951.0075,-4260909.3898,3887427.7692,-2703969.3991,-0.025405,-4260975.2617,0.31352,3887457.9478,0.10571,
,,,-2703963.1557,-4260977.848,3887477.6437,-2703968.7036,-0.085604,-4260975.5657,0.28814,3887460.99,0.16135,
,,,-2703944.5197,-4260948.4808,3887464.7161,-2703966.0028,-0.086039,-4260972.0747,0.26864,3887461.5754,0.10149,
