"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,"IMUonly",,,
-2699412.4262,-4293208.2687,3855130.4624,-2699412.5755,-4293205.2596,3855134.9316,-2699407.6453,-0.099121,-4293213.9016,0.044535,3855128.862,0.9745,-2699458.4952,-4293271.7134,3855072.4873,
-2699414.6664,-4293210.363,3855130.8327,-2699411.5821,-4293203.6797,3855133.5034,-2699408.0946,-0.0797,-4293212.5894,0.051113,3855129.6576,0.9298,-2699458.8893,-4293271.2761,3855072.4817,
-2699416.5544,-4293208.3112,3855132.2941,-2699420.316,-4293217.5703,3855132.0849,-2699409.4702,-0.075211,-4293213.2222,0.063942,3855130.1108,0.96111,-2699459.2759,-4293270.7109,3855072.4799,
-2699418.1137,-4293206.5692,3855133.2236,-2699421.314,-4293202.5291,3855136.7224,-2699410.8034,-0.077882,-4293211.8478,0.084041,3855131.2113,1.0156,-2699459.6873,-4293269.9731,3855072.4819,
-2699418.104,-4293203.3955,3855132.3324,-2699420.8206,-4293201.7444,3855136.013,-2699411.9322,-0.078952,-4293210.5471,0.10491,3855132.0366,1.0245,-2699460.1031,-4293269.0571,3855072.4836,
-2699418.6517,-4293202.0828,3855132.636,-2699416.4058,-4293194.7229,3855129.6655,-2699412.4398,-0.060668,-4293208.5125,0.1213,3855131.7571,0.98308,-2699460.3972,-4293268.0129,3855072.4816,
-2699420.7969,-4293199.7545,3855132.763,-2699419.1275,-4293199.0516,3855133.5787,-2699413.1935,-0.033626,-4293207.291,0.12884,3855132.1196,0.94717,-2699460.5336,-4293266.9156,3855072.4774,
-2699422.4679,-4293197.9807,3855132.9303,-2699426.3459,-4293193.9035,3855133.1839,-2699414.6692,-0.024705,-4293205.5665,0.12882,3855132.3642,0.96728,-2699460.6445,-4293265.8331,3855072.4757,
-2699424.278,-4293197.6503,3855133.5589,-2699426.5194,-4293194.1793,3855133.4332,-2699415.9991,-0.047598,-4293204.0981,0.12121,3855132.6124,1.0334,-2699460.6652,-4293266.8392,3855072.7767,
-2699426.5068,-4293198.7125,3855131.8811,-2699427.8815,-4293196.3457,3855135.3917,-2699417.3351,-0.091139,-4293203.0956,0.10826,3855133.129,1.0801,-2699460.7054,-4293267.7292,3855073.286,
-2699427.2199,-4293197.9655,3855132.7406,-2699431.489,-4293202.0831,3855126.6026,-2699418.9288,-0.11562,-4293202.9569,0.088852,3855132.215,1.0527,-2699460.7531,-4293268.4486,3855073.5278,
-2699426.3979,-4293196.3323,3855132.47,-2699427.8336,-4293196.2696,3855135.3228,-2699419.9362,-0.10851,-4293202.0936,0.072071,3855132.7806,0.98798,-2699460.7948,-4293269.027,3855073.3351,
-2699427.1216,-4293196.8884,3855133.8902,-2699425.3136,-4293192.2616,3855131.6996,-2699420.5474,-0.078327,-4293200.8292,0.060027,3855132.6968,0.95208,-2699460.8224,-4293269.5093,3855073.0146,
