aX,aY,aZ,temperature,gX,gY,gZ
-996,6348,18140,16.95,1883,-867,-565
1408,7176,19300,17.05,-193,-250,-3815
1720,5416,15796,17.09,-626,-901,-1120
-2892,5456,17228,17,-1168,-499,-1578
-3128,5888,15244,17,-826,-62,-369
-188,7952,15544,17.05,882,-789,307
2244,8012,17052,16.95,500,2120,334
-1300,6516,16736,17.05,3724,-293,4698
-3296,4136,19240,16.95,-1453,-825,602
-5096,4344,17940,16.95,-1608,-230,297
-1068,5980,16796,16.95,2162,791,-1531
1176,8364,17856,17.05,-5,-1799,506
-924,7120,23076,17,-678,-1419,1598
-1916,5520,14864,17.09,-2189,-953,-785
-1680,5112,12196,17,510,2058,-2539
1244,6836,14616,16.91,1860,149,60
-1032,6116,20856,16.95,2286,-2426,696
-4100,6776,19624,17,-1981,829,-2025
-1112,5404,18696,17.09,-1704,1633,-1373
1256,5796,11764,16.91,-3007,307,-940
2492,9152,13764,17.05,-47,1494,1241
-724,7488,19896,16.95,3610,-958,78
960,6156,16260,16.95,-1536,-1944,-2719
2260,5792,12956,17.05,-185,805,-1921
1028,6412,14012,17,-2195,1770,-1936
-320,7052,14268,17,1176,12,-125
-1044,7744,18020,17,1401,-1075,-904
-2136,8424,14892,17,-1467,1381,-2233
4504,6684,15528,17,-4592,969,-537
2660,5324,13304,16.91,215,1033,97
1692,6500,13028,17,2418,-1633,1389
-916,6588,18684,17,1999,-2357,-1722
836,7472,21560,17,-820,380,-4895
536,6320,18128,17.05,768,-263,-898
1632,6272,11504,17.05,-2271,-249,-1601
696,6604,12028,16.95,380,1042,-643
-220,8172,20580,16.91,1024,-81,-24
716,8344,18392,16.91,-1826,2933,-665
-540,6352,14048,17.05,-2808,1496,1065
-112,5296,14112,17,-1000,577,2205
-108,6304,12420,17.09,1788,-1480,2344
2240,8248,17172,17,1800,-1281,984
640,8496,19732,17.05,1918,-3780,685
2960,5952,17580,17.05,-749,-61,-200
-628,5032,19068,17.05,-2255,-433,-1097
-2868,5528,15908,17,-519,1097,-574
-1872,7624,16376,16.91,1291,64,-1606
1140,9748,17224,17,2456,1561,387
-2548,6632,18076,17,1200,-167,1734
-236,5932,16652,16.95,-1955,861,733
-2752,5080,15556,17.14,-441,722,1399
2668,7584,16700,16.95,2171,-676,1192
-2144,6740,19404,17.05,3489,-1677,-1004
-3212,7552,18588,16.95,-465,-1044,-2592
-368,6576,12900,16.95,-1,856,-2391
568,6632,12428,17.05,-1637,717,-787
704,7484,13564,16.95,1027,449,492
388,8440,18020,17.09,2031,114,743
-480,8580,19272,17,111,2175,-305
-1348,7992,12232,17,-1649,2775,680
-2080,6028,13096,16.95,86,751,2842
-2040,6948,15224,16.95,776,1278,996
1164,8136,15756,16.95,309,-1342,-3941
3376,9680,15712,17.05,-780,-1302,-4699
0,7112,19192,17.05,-384,274,-976
-3384,6612,16312,17,-2393,4703,-2153
-2320,7204,13560,16.91,1437,-731,-64
496,8660,14508,17,1644,-1744,-412
1504,10808,14360,17,-2208,1866,-1051
-1084,8232,16820,16.91,-2343,-291,3570
-3612,5748,14572,17,-1250,-587,3401
-5876,5428,13472,16.91,1450,-423,2402
-1196,7148,14784,17,729,-857,-790
1780,8940,17004,17,288,-683,-2335
1076,7900,18036,16.95,-1370,-318,-833
-1112,6216,16592,16.95,-1804,560,-263
-3812,6204,13828,16.95,340,1064,-876
936,8948,15448,17,781,-720,1053
2140,9260,13996,17,3530,1122,949
-4736,6124,16100,16.91,-1588,-1108,2786
-5392,5632,14124,17,-1214,852,-1765
192,6340,12928,17,2331,-953,1950
-1636,6532,14528,16.95,2306,-2060,357
2136,10524,18400,17.05,2206,-2378,169
-2756,6164,18732,16.95,-206,-1788,685
-2828,5184,15840,17.09,-2768,-191,-2820
-2044,5760,14484,17,712,-548,-544
-1192,7604,14612,17,2139,811,-969
1216,9416,17652,16.95,4581,-259,3456
-5524,5876,21764,16.95,496,-175,4101
-3288,4668,18028,17.05,-3616,934,-279
-1612,5164,14440,16.95,-1632,-746,856
612,7464,13224,17.05,-329,-971,-1033
-1100,8704,18644,17,2672,-976,-923
-1984,7612,16204,17.09,-224,-1508,-1186
-628,5928,13684,17,-1372,998,-298
-2496,5540,12676,17,372,771,-359
1344,8052,14604,17,591,307,811
-1288,6992,22016,16.91,1342,1462,2304
-2440,6836,18236,17,-1139,591,368
-1216,5092,18288,16.95,-2069,446,-769
-1288,5232,15156,17.05,-1762,31,-4829
-1424,6680,13676,17.05,2075,-334,-323
-1032,8156,18300,16.95,983,-1384,-448
-1480,7560,20040,17.05,-2875,-800,-2355
1728,5800,15952,16.95,-2547,643,-940
2688,6700,12996,16.95,-1189,205,620
300,6480,15156,16.95,2032,-932,2176
1116,7564,18932,16.95,940,286,706
1996,9812,16008,17,-1844,1958,-1187
1388,6776,14196,17.05,-1624,961,3244
1368,5508,13804,16.95,-2693,497,1107
972,5836,12916,16.86,1558,-340,1610
-452,6260,16480,17.05,2956,804,98
-1524,6676,20236,16.95,-1629,-854,-5070
