timestamp,aX,aY,aZ,temperature,gX,gY,gZ
15:23:42.326,    8,-812,13728,25.0,-2465,-429,2612
15:23:42.428, 2100,-1188,14792,25.05,-1096,-1455,1893
15:23:42.542, 1104,-1204,19696,25.05,-896,407,-640
15:23:42.642,-2660,-2356,22204,25.0,-7,2447,-1879
15:23:42.752,-1788,-2156,16680,25.09,-140,-821,-2870
15:23:42.866,  140,-88,13260,24.95,1604,1685,-3224
15:23:42.942, 1676,976,13688,25.05,1393,-203,-1933
15:23:43.052,  872,852,17456,25.05,1141,-865,-737
15:23:43.154,  672,1980,20332,25.05,367,-1317,1151
15:23:43.268, -724,2644,18208,25.0,1267,4103,3111
15:23:43.373,-1060,1452,16360,25.05,-998,491,3851
15:23:43.483,  564,40,13692,24.91,-1828,-1661,2674
15:23:43.559, 1700,-132,15500,24.95,-832,-2280,1339
15:23:43.665,  508,-8,19860,24.95,-999,-717,-96
15:23:43.779,-2220,-2364,19468,24.95,-588,3475,-2102
15:23:43.884,-1348,-780,16312,25.09,-161,-489,-3032
15:23:43.998, 1052,188,12896,25.0,1681,1261,-3456
15:23:44.070, 1932,912,14416,25.05,496,-1229,-1622
15:23:44.179,  716,1428,19332,25.05,1527,-241,517
15:23:44.289,-1408,2628,23080,25.05,2326,2037,2096
15:23:44.399, -868,3228,17448,25.0,196,-373,3780
15:23:44.504, -144,1328,14072,24.95,-1481,476,5994
15:23:44.618, 1388,-260,13056,24.95,-2467,-2616,3914
15:23:44.690, 1808,-616,16840,25.0,-314,-1575,2086
15:23:44.804,  488,-616,21068,25.0,-1167,-264,-839
15:23:44.914,-1428,-2816,18600,25.05,374,3232,-4130
15:23:45.028, -596,-1012,15016,25.05,163,-922,-5363
15:23:45.100, 1548,1140,12188,24.95,1110,312,-4909
15:23:45.209, 1864,1612,14748,25.0,97,-1324,-2917
15:23:45.319,  716,2796,19704,24.95,1036,-60,416
15:23:45.429, -752,3228,21752,25.05,1087,2073,3360
15:23:45.537, -640,2532,17936,24.91,-971,858,5336
15:23:45.652,  580,-332,13676,25.0,-1578,-290,4743
15:23:45.728, 2076,-840,13504,24.95,-1272,-3113,2642
15:23:45.838,  812,-364,18132,24.95,-406,-1032,966
15:23:45.943,  328,-1320,20780,24.86,396,1756,-1596
15:23:46.053, -468,-2332,17996,24.91,287,2747,-4745
15:23:46.164,  -48,792,14468,24.86,1663,659,-5554
15:23:46.240, 2084,1880,12400,24.91,373,-1669,-3190
15:23:46.341, 1632,1888,15496,24.91,-615,-389,-1275
15:23:46.450,  764,3148,19644,24.95,897,-852,1420
15:23:46.560,-1368,3120,20304,24.86,1332,6113,3866
15:23:46.664,-1428,1812,17980,24.91,-1203,1054,5468
15:23:46.774,  244,-156,13784,24.95,-1697,-934,5512
15:23:46.884, 1696,-688,14420,24.95,-708,-2225,3315
15:23:46.955,   -4,72,19812,24.91,-735,-910,704
